Infallz InfallTime
0.0850341243232 1.13003428949
3.6347793845 12.0189480112
0.0 0.0
1.54841997961 9.55668046876
1.81483983561 10.119243603
3.8751950078 12.1460136186
0.0575631629599 0.779645871419
0.137436445739 1.76249855431
1.15461518573 8.42690648325
3.36566838383 11.8559906951
3.34046616607 11.8394503449
2.36157052575 10.9527776107
1.73298715496 9.95997935899
3.4962007104 11.9380306047
3.72210416962 12.0669484744
4.66251415629 12.4712018545
4.79340710272 12.514812502
4.41770506014 12.3825590198
