Infallz InfallTime
4.83839327417 12.5292423656
1.9823148728 10.4133179157
1.11819529761 8.2985284377
1.97053231939 10.3939065366
0.930837404182 7.55459452374
3.6347793845 12.0189480112
1.87952084773 10.237607169
1.9823148728 10.4133179157
2.06147440607 10.5391476522
1.37908310137 9.12257223417
2.42278203724 11.0265461081
1.48114331084 9.39231857794
2.16355583676 10.6904080625
1.9017468516 10.276847571
1.30611350691 8.91303312246
1.42512428762 9.24746193652
4.66251415629 12.4712018545
3.60638444885 12.0028556147
