Infallz InfallTime
0.0841690775614 1.11920420515
1.71721113727 9.92798944332
0.0 0.0
1.54725352897 9.55391567241
1.81189167634 10.1136957302
3.88132739518 12.1490535935
0.0588425223391 0.796264467893
0.138283276162 1.77234946378
1.15775953136 8.43776695825
3.34549955604 11.8427726238
2.65389709513 11.278418945
2.37402528159 10.9680489167
1.73643006646 9.96690348184
3.48504900493 11.9312507119
1.83675230671 10.1600543489
4.65765670871 12.4695351935
4.76344269644 12.5050457129
4.39174515568 12.3725716786
