ID h1z_infall h2z_infall
22147704.0 0.355663604983 -1.0
22147989.0 0.275230544236 -1.0
22147990.0 0.258767605239 -1.0
22148643.0 0.689955331023 -1.0
22148695.0 0.590356809312 -1.0
22148740.0 -1.0 -1.0
22148748.0 0.609843735446 -1.0
22148768.0 -1.0 -1.0
22148947.0 0.61995897606 -1.0
22149052.0 0.500532595158 -1.0
22149256.0 0.0765202432116 -1.0
22149288.0 1.0467016319 -1.0
22149373.0 0.296482082117 -1.0
22149405.0 2.97761471463 -1.0
22149487.0 0.561449796497 -1.0
22149673.0 0.0617749214375 -1.0
22149722.0 1.37522847755 -1.0
22149727.0 0.930722201753 -1.0
22149996.0 1.35484462611 -1.0
22150280.0 1.05917529594 -1.0
22150526.0 0.170867458144 -1.0
22150586.0 0.252776213956 -1.0
22150717.0 0.372703251722 -1.0
22151056.0 -1.0 -1.0
22151073.0 -1.0 -1.0
22151091.0 -1.0 -1.0
22151124.0 0.370271325157 -1.0
22151470.0 0.0157593868034 -1.0
22151494.0 0.0531008914594 -1.0
22151516.0 0.162162000395 -1.0
22151598.0 0.857870605047 -1.0
22151621.0 0.856599793286 -1.0
22151715.0 0.554479576024 -1.0
22151744.0 0.65816138269 -1.0
22151802.0 0.59616631918 -1.0
22152189.0 1.07768104708 -1.0
22152212.0 0.884393136301 -1.0
22152294.0 0.633226601553 -1.0
22152499.0 0.69820910977 -1.0
22152537.0 0.813095665218 -1.0
22152587.0 0.932158188892 -1.0
22152608.0 1.04827338354 -1.0
22152616.0 2.8699904662 -1.0
22152634.0 0.763508311994 -1.0
22152699.0 -1.0 -1.0
22152839.0 0.950186890618 -1.0
22152854.0 1.51136126715 -1.0
22152917.0 0.0531008914594 -1.0
22152946.0 0.959492057049 -1.0
22153014.0 0.852155658401 -1.0
22153036.0 0.815614822262 -1.0
22153200.0 0.554828575284 -1.0
22153289.0 -1.0 -1.0
22153301.0 0.402574338391 -1.0
22153307.0 0.917087946076 -1.0
22153316.0 2.87790060493 -1.0
22153325.0 0.771165875639 -1.0
22153494.0 0.0948402720929 -1.0
22153572.0 0.931449914468 -1.0
22153608.0 0.955870767811 -1.0
22153698.0 0.454886649968 -1.0
22153804.0 0.382517897742 -1.0
22153854.0 0.843330911957 -1.0
22153947.0 0.277335704722 -1.0
22154216.0 -1.0 -1.0
22154365.0 -1.0 2.08365982335
22154621.0 -1.0 0.348950816032
22154731.0 -1.0 0.709469175346
22154827.0 -1.0 0.932158188892
22155095.0 -1.0 1.03917566953
22155439.0 -1.0 -1.0
22155516.0 -1.0 0.160476558128
22156294.0 -1.0 0.194609337824
22156406.0 -1.0 -1.0
22156509.0 -1.0 0.150074146053
22156595.0 -1.0 0.830865696452
22156713.0 -1.0 0.172727098854
22156772.0 -1.0 0.203906618372
22157142.0 -1.0 0.153627943276
22157266.0 -1.0 0.732942815027
22157996.0 -1.0 3.58488668734
22158177.0 -1.0 0.981682081109
22158252.0 -1.0 0.135006049156
22158275.0 -1.0 0.482452410911
22158325.0 -1.0 0.990317903457
22158327.0 -1.0 1.53059196578
22158563.0 -1.0 0.146786064269
22158579.0 -1.0 0.919063022425
22158652.0 -1.0 1.31259906544
22158681.0 -1.0 1.12054590557
22158682.0 -1.0 4.59656375592
22158696.0 -1.0 2.74225619518
22158717.0 -1.0 0.965812900545
22158722.0 -1.0 0.143395467892
22158738.0 -1.0 0.126738844815
22158766.0 -1.0 0.135006049156
22158770.0 -1.0 0.190838504831
22158772.0 -1.0 1.29764444455
22158775.0 -1.0 0.134897229292
22158777.0 -1.0 0.148367806272
22158779.0 -1.0 0.158738703932
22158819.0 -1.0 0.915840078059
22158843.0 -1.0 0.38997148142
22158855.0 -1.0 1.10898981801
22158889.0 -1.0 0.931449914468
22158976.0 -1.0 6.7399552212
22158977.0 -1.0 1.01038786681
22159052.0 -1.0 -1.0
22159108.0 -1.0 0.747576500839
22159258.0 -1.0 0.70241624007
22159289.0 -1.0 2.17423363971
22159363.0 -1.0 0.935551856137
22159594.0 -1.0 1.0321352525
22159993.0 -1.0 2.76465019645
22160044.0 -1.0 1.11547320958
22160094.0 -1.0 1.25742474641
22160103.0 -1.0 0.358042947103
22160105.0 -1.0 12.7701239311
22160119.0 -1.0 0.911642224699
22160158.0 -1.0 0.13661120891
22181475.0 -1.0 -1.0
22183588.0 -1.0 -1.0
22183675.0 -1.0 -1.0
22253605.0 -1.0 -1.0
22253898.0 -1.0 -1.0
22254024.0 -1.0 -1.0
22254093.0 -1.0 -1.0
22254105.0 -1.0 -1.0
22254537.0 -1.0 -1.0
22254639.0 -1.0 -1.0
22254967.0 -1.0 -1.0
22255057.0 -1.0 -1.0
22255445.0 -1.0 -1.0
22255761.0 -1.0 -1.0
22256402.0 -1.0 -1.0
22256699.0 -1.0 -1.0
22256806.0 -1.0 -1.0
22256815.0 -1.0 -1.0
22256866.0 -1.0 -1.0
22257969.0 -1.0 -1.0
22258257.0 -1.0 -1.0
22294023.0 -1.0 -1.0
22294295.0 -1.0 -1.0
22294360.0 -1.0 -1.0
22313771.0 -1.0 -1.0
22313773.0 -1.0 -1.0
23028588.0 3.51745074491 -1.0
23028875.0 1.40975991237 -1.0
23029027.0 3.14300314553 -1.0
23029158.0 0.0573769971038 -1.0
23029356.0 2.63379460171 -1.0
23029628.0 0.0306354572613 -1.0
23030031.0 1.23581087571 -1.0
23030036.0 2.55889606084 -1.0
23030090.0 0.202035602991 -1.0
23030091.0 2.29898837141 -1.0
23030989.0 0.974488144314 -1.0
23031035.0 3.73200652872 -1.0
23031040.0 1.40745657662 -1.0
23031392.0 1.08224249698 -1.0
23031482.0 2.44256142107 -1.0
23031483.0 6.28375781955 -1.0
23031584.0 2.75727266082 -1.0
23031630.0 1.05304854212 -1.0
23032051.0 0.813692647961 -1.0
