fq tq
0.2 11.3409301884
0.3 10.668692702
0.4 9.71352733707
0.5 8.86580998157
0.6 7.7397712024
0.7 5.89000516048
0.8 2.09493180722
0.86 1.66337237357
0.9 1.38562508741
1.0 6.75920026445
