ID h1z_infall h2z_infall
22148695.0 0.590356809312 -1.0
22148768.0 -1.0 -1.0
22149052.0 0.500532595158 -1.0
22149373.0 0.296482082117 -1.0
22149405.0 2.97761471463 -1.0
22150280.0 1.05917529594 -1.0
22150526.0 0.170867458144 -1.0
22151091.0 -1.0 -1.0
22151598.0 0.857870605047 -1.0
22151621.0 0.856599793286 -1.0
22152212.0 0.884393136301 -1.0
22152587.0 0.932158188892 -1.0
22152699.0 -1.0 -1.0
22153200.0 0.554828575284 -1.0
22153301.0 0.402574338391 -1.0
22153698.0 0.454886649968 -1.0
22153854.0 0.843330911957 -1.0
22153947.0 0.277335704722 -1.0
22155516.0 -1.0 0.160476558128
22158327.0 -1.0 1.53059196578
22159052.0 -1.0 -1.0
22159258.0 -1.0 0.70241624007
22160105.0 -1.0 12.7701239311
22160158.0 -1.0 0.13661120891
22253605.0 -1.0 -1.0
22253898.0 -1.0 -1.0
22254537.0 -1.0 -1.0
22254639.0 -1.0 -1.0
22255057.0 -1.0 -1.0
22313773.0 -1.0 -1.0
23028588.0 3.51745074491 -1.0
23029628.0 0.0306354572613 -1.0
23030091.0 2.29898837141 -1.0
23032401.0 0.580602944735 -1.0
23032452.0 1.34059231635 -1.0
23033094.0 -1.0 -1.0
23033494.0 -1.0 2.10061339534
23033896.0 -1.0 0.108882417852
23034374.0 -1.0 4.82811419816
23035515.0 -1.0 2.07336987855
23035710.0 0.930722201753 -1.0
23036126.0 1.29203964113 -1.0
23036199.0 2.66165687713 -1.0
23036525.0 2.87338986625 -1.0
23036564.0 2.45794620431 -1.0
23036699.0 3.07750596961 -1.0
23036971.0 0.189188078169 -1.0
23037019.0 -1.0 0.535965199231
23037225.0 -1.0 2.68873525807
23037239.0 -1.0 2.03020478199
23037656.0 0.74810553014 -1.0
23038761.0 -1.0 0.134897229292
23064496.0 -1.0 -1.0
23064512.0 -1.0 -1.0
23086094.0 -1.0 -1.0
23094103.0 -1.0 1.07506510925
23094443.0 -1.0 -1.0
23095935.0 -1.0 -1.0
23097073.0 -1.0 -1.0
23098857.0 -1.0 -1.0
23137180.0 -1.0 -1.0
23139517.0 -1.0 -1.0
23205143.0 -1.0 -1.0
23205258.0 -1.0 -1.0
10502339.0 0.362247487667 -1.0
10502542.0 2.14840208603 -1.0
10503975.0 1.32651148824 -1.0
10506291.0 -1.0 0.0502409565343
