ID h1z_infall h2z_infall
22147990.0 0.258767605239 -1.0
22151073.0 -1.0 -1.0
22152917.0 0.0531008914594 -1.0
22153494.0 0.0948402720929 -1.0
22158772.0 -1.0 1.29764444455
23036882.0 0.950186890618 -1.0
23037245.0 -1.0 2.06625766407
23038439.0 -1.0 2.05414509074
23059863.0 -1.0 -1.0
23059894.0 -1.0 -1.0
23063190.0 -1.0 0.533253038357
23063552.0 -1.0 -1.0
23064498.0 -1.0 -1.0
23065410.0 -1.0 -1.0
10499245.0 0.48042787866 -1.0
10500582.0 0.258767605239 -1.0
10503241.0 1.75788317315 -1.0
10503711.0 -1.0 -1.0
10503878.0 0.436437156374 -1.0
10503966.0 0.51467643456 -1.0
10504795.0 1.73835494564 -1.0
10505259.0 -1.0 2.41553417244
10506863.0 -1.0 0.346417742303
10571078.0 -1.0 -1.0
80194102.0 -1.0 -1.0
80194168.0 -1.0 -1.0
80206686.0 -1.0 -1.0
80304144.0 -1.0 1.77155625697
80353240.0 -1.0 -1.0
80312235.0 -1.0 -1.0
80301474.0 -1.0 -1.0
80175403.0 0.917087946076 -1.0
80348217.0 -1.0 -1.0
80176320.0 2.72835583138 -1.0
80182758.0 0.557960462907 -1.0
80179361.0 2.73236343083 -1.0
80304205.0 -1.0 3.34209398585
20827579.0 1.02681223886 -1.0
20830644.0 0.412822375019 -1.0
20830678.0 -1.0 -1.0
20831317.0 0.449900785649 -1.0
20833403.0 -1.0 1.36795953695
20833408.0 -1.0 0.577019989332
20838235.0 -1.0 -1.0
20851738.0 -1.0 -1.0
20865310.0 -1.0 -1.0
20865899.0 -1.0 -1.0
20867658.0 -1.0 -1.0
20868280.0 -1.0 -1.0
20931814.0 -1.0 -1.0
20947868.0 -1.0 -1.0
20957590.0 -1.0 -1.0
20962858.0 -1.0 -1.0
52725263.0 -1.0 0.248607255884
52727907.0 0.69820910977 -1.0
52731468.0 -1.0 -1.0
52734420.0 -1.0 3.10425609645
52736559.0 1.03917566953 -1.0
52737574.0 -1.0 0.00258956224233
52901457.0 -1.0 -1.0
52958039.0 -1.0 -1.0
52959177.0 -1.0 -1.0
52959958.0 -1.0 -1.0
52963792.0 0.417762950035 -1.0
52964151.0 -1.0 0.110560550418
52976119.0 -1.0 -1.0
52982497.0 -1.0 -1.0
53033449.0 -1.0 -1.0
14339853.0 0.664853487023 -1.0
14340086.0 1.91592068696 -1.0
14342607.0 1.84932123541 -1.0
14342915.0 0.407905592688 -1.0
14345005.0 0.985211434818 -1.0
14345995.0 -1.0 3.33994445585
14347551.0 -1.0 0.506377486885
14347582.0 -1.0 3.53767469101
14349095.0 1.50902163644 -1.0
14365384.0 -1.0 -1.0
14376948.0 1.05370987191 -1.0
18580257.0 0.830250346754 -1.0
18581022.0 0.542425937812 -1.0
18581371.0 0.665301690594 -1.0
18582734.0 -1.0 1.58988338219
18588436.0 -1.0 2.2061262079
18588688.0 -1.0 0.843960426917
18590921.0 -1.0 1.69251480883
18592184.0 -1.0 0.387478039638
18607178.0 -1.0 -1.0
18607325.0 -1.0 -1.0
18612192.0 -1.0 -1.0
18679268.0 -1.0 -1.0
13130426.0 1.2651890535 -1.0
13131849.0 1.6106883515 -1.0
13134566.0 -1.0 0.37738263884
13136079.0 -1.0 -1.0
13137011.0 -1.0 -1.0
13137013.0 -1.0 -1.0
13137418.0 -1.0 -1.0
13147495.0 -1.0 -1.0
13148309.0 -1.0 -1.0
13177179.0 -1.0 -1.0
13187682.0 -1.0 -1.0
26102257.0 0.218979004505 -1.0
26103521.0 0.116922926174 -1.0
26104232.0 0.105843312469 -1.0
26107594.0 0.07502458607 -1.0
26111120.0 -1.0 0.305510525429
26112013.0 0.00129509072846 0.286119855785
26112887.0 -1.0 0.0947982567847
26113364.0 -1.0 -1.0
26113525.0 -1.0 -1.0
26222040.0 -1.0 -1.0
16696816.0 -1.0 -1.0
16658586.0 -1.0 0.407679705292
16662354.0 -1.0 -1.0
16697089.0 -1.0 -1.0
16578834.0 -1.0 0.444225400197
16663040.0 0.277479126808 -1.0
16659133.0 -1.0 1.53216090879
16661101.0 1.32772667316 -1.0
16663479.0 0.665301690594 -1.0
20467807.0 -1.0 -1.0
20408520.0 -1.0 -1.0
20467901.0 -1.0 -1.0
10250979.0 -1.0 -1.0
10251967.0 0.226821770609 -1.0
10252444.0 0.309768340959 -1.0
10261899.0 -1.0 -1.0
10262323.0 -1.0 -1.0
24747935.0 -1.0 -1.0
24751513.0 -1.0 -1.0
24752019.0 -1.0 -1.0
24697142.0 0.0841690775614 -1.0
24704361.0 1.71721113727 -1.0
24879740.0 -1.0 -1.0
24702392.0 0.321286966129 -1.0
24702506.0 1.81189167634 -1.0
24706362.0 3.88132739518 -1.0
9381314.0 0.970048045276 -1.0
9383825.0 1.34182784 -1.0
9390609.0 -1.0 -1.0
9391330.0 -1.0 -1.0
8458848.0 0.178146169554 -1.0
8460358.0 0.141707677103 -1.0
8468991.0 -1.0 -1.0
8469439.0 -1.0 -1.0
8469614.0 -1.0 -1.0
8537292.0 -1.0 -1.0
8517906.0 0.181831809718 -1.0
8528708.0 -1.0 -1.0
8528763.0 -1.0 -1.0
8528966.0 -1.0 -1.0
7467402.0 -1.0 -1.0
7470576.0 0.69820910977 -1.0
7473213.0 1.95830233768 -1.0
7473258.0 0.428478334811 -1.0
7473316.0 0.0559525265191 -1.0
7489279.0 -1.0 -1.0
7498945.0 -1.0 -1.0
15346905.0 -1.0 -1.0
15346649.0 -1.0 -1.0
15365045.0 -1.0 -1.0
15357685.0 -1.0 -1.0
15399797.0 -1.0 -1.0
15345968.0 1.16277753103 -1.0
15347272.0 0.776749586522 -1.0
15350331.0 1.1527323755 -1.0
15349403.0 2.97282787457 -1.0
6590892.0 -1.0 -1.0
6591315.0 0.469450842636 -1.0
6591913.0 0.486116898493 -1.0
6591928.0 0.494433708691 -1.0
6596551.0 -1.0 -1.0
6596895.0 -1.0 -1.0
6597199.0 -1.0 -1.0
6621445.0 -1.0 -1.0
6628323.0 -1.0 -1.0
12969114.0 -1.0 -1.0
12953287.0 -1.0 -1.0
12951114.0 -1.0 -1.0
12949239.0 -1.0 -1.0
12969712.0 -1.0 -1.0
13064112.0 -1.0 -1.0
12955054.0 -1.0 -1.0
12954769.0 -1.0 -1.0
12947070.0 1.62675652926 -1.0
12955061.0 -1.0 -1.0
12971405.0 -1.0 -1.0
12962322.0 0.682959007486 -1.0
12960011.0 0.755506260522 -1.0
12957919.0 0.180028727709 -1.0
12956181.0 0.879813263168 -1.0
12951899.0 0.752584160101 -1.0
6762263.0 -1.0 -1.0
6752075.0 -1.0 -1.0
6762378.0 -1.0 -1.0
6762489.0 -1.0 -1.0
17492154.0 -1.0 -1.0
17410303.0 -1.0 -1.0
17487239.0 -1.0 -1.0
17415339.0 -1.0 -1.0
17455837.0 -1.0 -1.0
17432678.0 -1.0 -1.0
17432243.0 -1.0 -1.0
17454937.0 0.722108665775 -1.0
17474999.0 -1.0 -1.0
17471664.0 0.18704120816 -1.0
17472072.0 -1.0 -1.0
17473535.0 0.460212634389 -1.0
7765151.0 -1.0 -1.0
7798806.0 -1.0 -1.0
7735527.0 -1.0 -1.0
7726837.0 1.86195147402 -1.0
7725880.0 1.66114070228 -1.0
13875680.0 -1.0 -1.0
13891743.0 -1.0 -1.0
13893247.0 -1.0 -1.0
13892775.0 -1.0 -1.0
13893378.0 -1.0 -1.0
13875912.0 0.13667406954 -1.0
13872490.0 0.728062021096 -1.0
13875942.0 0.21144929099 -1.0
13875884.0 0.679306467746 -1.0
13875902.0 1.96058402698 -1.0
9749522.0 1.75788317315 -1.0
9752577.0 0.138235159058 -1.0
9752628.0 0.678957806757 -1.0
9766851.0 -1.0 -1.0
9799740.0 -1.0 -1.0
9807493.0 -1.0 -1.0
6494198.0 2.06121083194 -1.0
6494369.0 0.472249014865 -1.0
6494403.0 1.24546035997 -1.0
6494541.0 0.755506260522 -1.0
6498965.0 -1.0 -1.0
16823796.0 -1.0 -1.0
16826307.0 0.796259574456 -1.0
16826309.0 0.805798620013 -1.0
16831358.0 0.888316090797 -1.0
16831445.0 -1.0 -1.0
16832253.0 0.636681235207 -1.0
16833235.0 0.839574753768 -1.0
12769745.0 0.908313019878 -1.0
12771571.0 0.49184981077 -1.0
12776520.0 0.394762421205 -1.0
12777101.0 4.28129701015 -1.0
12792259.0 -1.0 -1.0
12795292.0 -1.0 -1.0
12795917.0 -1.0 -1.0
12796042.0 -1.0 -1.0
7562029.0 -1.0 -1.0
7563520.0 -1.0 -1.0
7567032.0 0.334975591372 -1.0
12533647.0 1.15075422006 -1.0
12533920.0 -1.0 -1.0
12533971.0 0.0431586204655 -1.0
12535641.0 1.05917529594 -1.0
12538278.0 0.489264425947 -1.0
12540908.0 0.969464009947 -1.0
12541414.0 2.17975425603 -1.0
12553027.0 -1.0 -1.0
12556510.0 -1.0 -1.0
12556576.0 -1.0 -1.0
12606732.0 -1.0 -1.0
7433192.0 -1.0 -1.0
7439687.0 6.08355682004 -1.0
21262145.0 0.053078263618 -1.0
21262322.0 0.034812840305 -1.0
21262373.0 0.113668956088 -1.0
21262450.0 0.768620737842 -1.0
21285296.0 -1.0 -1.0
21287603.0 -1.0 -1.0
21287706.0 -1.0 -1.0
21408905.0 -1.0 -1.0
10062319.0 1.1222360753 -1.0
10064741.0 -1.0 -1.0
10066297.0 1.37522847755 -1.0
64488461.0 -1.0 -1.0
64488767.0 -1.0 -1.0
64556343.0 -1.0 1.57543628392
64556501.0 -1.0 0.236515367393
64556519.0 -1.0 3.05887540756
64706843.0 -1.0 -1.0
64708386.0 -1.0 -1.0
64779433.0 -1.0 0.360980593051
64780205.0 -1.0 -1.0
64783228.0 0.564635545086 -1.0
64784645.0 -1.0 -1.0
64787291.0 0.885142525958 -1.0
64788865.0 0.734174998953 -1.0
64788916.0 0.70033437577 -1.0
64789651.0 1.12979539941 -1.0
64789956.0 0.481065238939 -1.0
